Camels_IDs,flood_cluster
02384540,12
02395120,12
02408540,12
02415000,12
02422500,12
02427250,15
02430085,12
02430615,12
02450250,12
02464000,12
02464146,12
02464360,12
02465493,12
02469800,15
02472000,12
02472500,12
02479155,12
02479300,12
02479560,12
02481000,12
02481510,12
03010655,13
03011800,13
03015500,13
03021350,13
03026500,13
03028000,13
03049000,13
03049800,13
03050000,11
03066000,11
03069500,11
03070500,11
03076600,11
03078000,11
03140000,11
03144000,11
03159540,11
03161000,14
03164000,14
03165000,14
03170000,14
03173000,14
03180500,11
03182500,14
03186500,11
03187500,11
03213700,14
03237280,11
03237500,11
03238500,11
03241500,11
03280700,11
03281100,11
03281500,11
03285000,11
03291780,11
03300400,11
03338780,10
03340800,10
03346000,10
03357350,10
03364500,11
03366500,11
03368000,11
03384450,11
03439000,14
03450000,14
03455500,14
03456500,14
03460000,14
03463300,14
03471500,14
03473000,14
03479000,14
03488000,14
03498500,14
03500000,14
03500240,14
03504000,14
03574500,12
03592718,12
03604000,12
04015330,9
04024430,9
04027000,9
04040500,9
04043050,9
04045500,9
04056500,9
04057510,9
04057800,9
04059500,9
04063700,9
04074950,9
04105700,9
04115265,9
04122200,9
04122500,9
04124000,9
04127918,9
04127997,9
04161580,9
04185000,11
04196800,11
04197100,11
04197170,11
04213000,13
04213075,13
04216418,13
04221000,13
04224775,13
04233000,13
04256000,9
04296000,9
05056000,6
05057000,6
05057200,6
05062500,6
05087500,6
05120500,6
05123400,6
05129115,9
05131500,9
05291000,6
05362000,9
05393500,9
05399500,9
05408000,10
05412500,10
05413500,10
05414000,10
05444000,10
05454000,10
05458000,10
05466500,10
05487980,10
05488200,10
05489000,10
05495000,10
05495500,10
05501000,10
05503800,10
05507600,10
05508805,10
05514500,10
05525500,10
05556500,10
05584500,10
05585000,10
05591550,10
05592050,10
05592575,10
05593575,10
05593900,10
05595730,10
06037500,4
06043500,4
06154410,4
06188000,4
06191500,4
06221400,4
06224000,4
06278300,4
06280300,4
06289000,4
06291500,4
06311000,4
06332515,6
06339100,6
06339500,6
06344600,6
06350000,6
06352000,6
06353000,6
06354000,6
06360500,7
06404000,7
06406000,7
06408700,7
06409000,7
06431500,7
06440200,7
06441500,7
06447000,7
06447500,7
06450500,7
06452000,7
06453600,7
06464500,7
06468170,6
06468250,6
06470800,6
06477500,7
06479215,6
06479438,6
06601000,7
06614800,4
06622700,4
06623800,4
06632400,4
06746095,4
06784000,7
06803510,7
06803530,7
06814000,7
06847900,7
06853800,7
06876700,7
06878000,7
06879650,7
06885500,7
06888500,7
06889200,7
06889500,7
06892000,7
06903400,10
06906800,10
06910800,7
06911900,7
06917000,10
06918460,10
06919500,10
06921070,10
06921200,10
06934000,10
07014500,10
07056000,10
07057500,10
07060710,10
07066000,10
07067000,10
07068000,10
07071500,10
07083000,4
07142300,7
07145700,7
07148400,7
07149000,7
07151500,7
07167500,7
07180500,7
07184000,10
07195800,10
07196900,10
07197000,10
07208500,4
07226500,8
07261000,10
07263295,10
07290650,12
07291000,12
07292500,12
07295000,12
07299670,8
07301410,8
07301500,8
07315200,8
07315700,8
07335700,10
07340300,10
07346045,12
07359610,10
07362100,12
07362587,10
07373000,12
07375000,12
07376000,12
08013000,12
08014500,12
08023080,12
08025500,12
08029500,12
08050800,8
08066200,12
08066300,12
08070000,12
08070200,12
08079600,8
08082700,8
08086212,8
08086290,8
08101000,8
08103900,8
08104900,8
08109700,8
08150800,8
08155200,8
08158700,8
08158810,8
08164000,8
08164300,8
08164600,8
08165300,8
08171300,8
08175000,8
08176900,8
08178880,8
08189500,8
08190000,8
08190500,8
08194200,8
08195000,8
08196000,8
08198500,8
08200000,8
08202700,8
08267500,4
08269000,4
08271000,4
08324000,4
08377900,4
08378500,4
08380500,4
09034900,4
09035800,4
09035900,4
09047700,4
09065500,4
09066000,4
09066200,4
09066300,4
09081600,4
09107000,4
09210500,4
09223000,4
09306242,7
09312600,4
09352900,4
09378170,4
09378630,4
09386900,5
09404450,3
09430500,5
09430600,5
09447800,5
09480000,5
09484000,5
09484600,5
09492400,4
09494000,4
09497800,5
09497980,5
09505200,5
09505350,5
09505800,5
09508300,5
09510200,5
09512280,5
09513780,5
10023000,7
10166430,7
10172700,7
10172800,4
10173450,4
10205030,4
10234500,4
10242000,4
10244950,7
10249300,4
10258000,3
10258500,3
10259000,3
10259200,3
10263500,3
10310500,7
10316500,4
10329500,4
10336645,4
10336660,4
10336740,7
10343500,4
10348850,4
10396000,4
11098000,3
11124500,3
11141280,3
11143000,3
11148900,3
11151300,3
11162500,3
11176400,3
11180500,3
11180960,3
11224500,3
11230500,4
11237500,4
11253310,3
11264500,4
11266500,4
11274500,3
11274630,3
11284400,3
11299600,3
11381500,3
11383500,3
11451100,3
11468500,3
11473900,3
11475560,3
11476600,3
11478500,3
11480390,3
11481200,3
11482500,3
11522500,3
11523200,3
11528700,3
11532500,3
12010000,1
12013500,1
12020000,1
12025000,1
12025700,1
12035000,1
12040500,1
12041200,1
12043000,1
12048000,2
12054000,2
12056500,2
12073500,3
12082500,2
12092000,2
12095000,1
12114500,2
12115000,2
12115500,2
12117000,1
12141300,2
12143600,2
12144000,2
12145500,1
12147500,1
12147600,2
12167000,1
12175500,2
12178100,2
12186000,2
12189500,2
12358500,4
12374250,4
12375900,4
12377150,4
12381400,4
12383500,4
12388400,4
12390700,4
12411000,2
12414500,4
12447390,4
12451000,4
12488500,4
13011500,4
13011900,4
13018300,4
13023000,4
13083000,4
13161500,4
13235000,4
13240000,4
13310700,4
13313000,4
13331500,4
13337000,4
13338500,4
13340000,4
13340600,4
14020000,2
14092750,2
14096850,2
14137000,1
14138800,1
14138870,1
14138900,1
14139800,1
14141500,1
14154500,1
14158500,2
14158790,2
14166500,3
14182500,1
14185000,1
14185900,1
14187000,1
14216500,2
14222500,1
14236200,1
14301000,1
14303200,1
14305500,1
14306340,3
14306500,3
14308990,3
14309500,3
14316700,1
14325000,3
14362250,3
14400000,3
